"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","68","@regression - Non-numeric chain ID returns 400","api-tests","2026-01-21","passed","2026-01-21","GET /v1/token - Negative Tests @tokens @negative","api/tokens/tokens.negative.spec.ts","",""
"","47","@regression - Invalid token address returns error","api-tests","2026-01-21","passed","2026-01-21","POST /v1/advanced/routes - Negative Tests @routes @negative","api/advanced-routes/routes.negative.spec.ts","",""
"","63","@regression - Short address format returns error","api-tests","2026-01-21","passed","2026-01-21","GET /v1/quote - Negative Tests @quote @negative","api/quote/quote.negative.spec.ts","",""
"","38","@regression - Missing fromChainId returns 400","api-tests","2026-01-21","passed","2026-01-21","POST /v1/advanced/routes - Negative Tests @routes @negative","api/advanced-routes/routes.negative.spec.ts","",""
"","803","@regression @swap - POL to USDC swap on Polygon","api-tests","2026-01-21","passed","2026-01-21","GET /v1/quote - Happy Path @quote @happy-path","api/quote/quote.happy-path.spec.ts","",""
"","63","@regression - Invalid token symbol returns 400","api-tests","2026-01-21","passed","2026-01-21","GET /v1/token - Negative Tests @tokens @negative","api/tokens/tokens.negative.spec.ts","",""
"","1192","@regression @toAddress - Quote with custom recipient address","api-tests","2026-01-21","passed","2026-01-21","GET /v1/quote - Happy Path @quote @happy-path","api/quote/quote.happy-path.spec.ts","",""
"","17","@smoke @regression - Token includes accurate price","api-tests","2026-01-21","passed","2026-01-21","GET /v1/token - Token Details & Price @tokens @happy-path","api/tokens/tokens.happy-path.spec.ts","",""
"","61","@regression - Invalid chain format returns 400","api-tests","2026-01-21","passed","2026-01-21","GET /v1/tools - Negative Tests @tools @negative","api/tools/tools.negative.spec.ts","",""
"","48","@regression - Get token details by address","api-tests","2026-01-21","passed","2026-01-21","GET /v1/token - Token Details & Price @tokens @happy-path","api/tokens/tokens.happy-path.spec.ts","",""
"","52","@regression - Missing fromAmount returns 400","api-tests","2026-01-21","passed","2026-01-21","GET /v1/quote - Negative Tests @quote @negative","api/quote/quote.negative.spec.ts","",""
"","45","@regression - Returns tokens for Solana","api-tests","2026-01-21","passed","2026-01-21","GET /v1/tokens - Token Search @tokens @happy-path","api/tokens/tokens.happy-path.spec.ts","",""
"","56","@regression - Zero amount returns 400 with validation error","api-tests","2026-01-21","passed","2026-01-21","GET /v1/quote - Negative Tests @quote @negative","api/quote/quote.negative.spec.ts","",""
"","64","@regression - Non-numeric chain ID returns error","api-tests","2026-01-21","passed","2026-01-21","GET /v1/tokens - Negative Tests @tokens @negative","api/tokens/tokens.negative.spec.ts","",""
"","339","@smoke @regression - Returns bridges and exchanges without filter","api-tests","2026-01-21","passed","2026-01-21","GET /v1/tools - Happy Path @tools @happy-path","api/tools/tools.happy-path.spec.ts","",""
"","52","@regression - Token objects have required properties","api-tests","2026-01-21","passed","2026-01-21","GET /v1/tokens - Token Search @tokens @happy-path","api/tokens/tokens.happy-path.spec.ts","",""
"","14","@regression - SUI chain has bridges","api-tests","2026-01-21","passed","2026-01-21","GET /v1/tools - Happy Path @tools @happy-path","api/tools/tools.happy-path.spec.ts","",""
"","60","@regression - Invalid chain ID returns 400","api-tests","2026-01-21","passed","2026-01-21","GET /v1/tools - Negative Tests @tools @negative","api/tools/tools.negative.spec.ts","",""
"","60","@regression - Returns tools for Bitcoin (UTXO)","api-tests","2026-01-21","passed","2026-01-21","GET /v1/tools - Happy Path @tools @happy-path","api/tools/tools.happy-path.spec.ts","",""
"","728","@regression @bridge - USDC Polygon to Arbitrum bridge","api-tests","2026-01-21","passed","2026-01-21","GET /v1/quote - Happy Path @quote @happy-path","api/quote/quote.happy-path.spec.ts","",""
"","522","@regression @bridge - USDT BSC to Ethereum bridge","api-tests","2026-01-21","passed","2026-01-21","POST /v1/advanced/routes - Happy Path @routes @happy-path","api/advanced-routes/routes.happy-path.spec.ts","",""
"","17","@regression - Bitcoin chain has bridges","api-tests","2026-01-21","passed","2026-01-21","GET /v1/tools - Happy Path @tools @happy-path","api/tools/tools.happy-path.spec.ts","",""
"","1587","@regression @bridge - USDC Ethereum to Avalanche bridge","api-tests","2026-01-21","passed","2026-01-21","POST /v1/advanced/routes - Happy Path @routes @happy-path","api/advanced-routes/routes.happy-path.spec.ts","",""
"","62","@regression - Missing toToken returns 400","api-tests","2026-01-21","passed","2026-01-21","GET /v1/quote - Negative Tests @quote @negative","api/quote/quote.negative.spec.ts","",""
"","682","@regression @swap - AVAX to USDC swap on Avalanche","api-tests","2026-01-21","passed","2026-01-21","GET /v1/quote - Happy Path @quote @happy-path","api/quote/quote.happy-path.spec.ts","",""
"","27","@regression - Exchange objects have required properties","api-tests","2026-01-21","passed","2026-01-21","GET /v1/tools - Happy Path @tools @happy-path","api/tools/tools.happy-path.spec.ts","",""
"","58","@regression - Empty chains parameter returns error","api-tests","2026-01-21","passed","2026-01-21","GET /v1/tools - Negative Tests @tools @negative","api/tools/tools.negative.spec.ts","",""
"","949","@regression @bridge - USDC Ethereum to Optimism bridge","api-tests","2026-01-21","passed","2026-01-21","POST /v1/advanced/routes - Happy Path @routes @happy-path","api/advanced-routes/routes.happy-path.spec.ts","",""
"","773","@regression @bridge - USDC Ethereum to Optimism bridge","api-tests","2026-01-21","passed","2026-01-21","GET /v1/quote - Happy Path @quote @happy-path","api/quote/quote.happy-path.spec.ts","",""
"","526","@regression - Multiple chain filter returns filtered results","api-tests","2026-01-21","passed","2026-01-21","GET /v1/tools - Happy Path @tools @happy-path","api/tools/tools.happy-path.spec.ts","",""
"","74","@regression - Invalid fromAddress format returns error","api-tests","2026-01-21","passed","2026-01-21","GET /v1/quote - Negative Tests @quote @negative","api/quote/quote.negative.spec.ts","",""
"","64","@regression - Invalid token address format returns 400","api-tests","2026-01-21","passed","2026-01-21","GET /v1/token - Negative Tests @tokens @negative","api/tokens/tokens.negative.spec.ts","",""
"","800","@regression @bridge - USDT BSC to Ethereum bridge","api-tests","2026-01-21","passed","2026-01-21","GET /v1/quote - Happy Path @quote @happy-path","api/quote/quote.happy-path.spec.ts","",""
"","58","@regression - Missing token parameter returns 400","api-tests","2026-01-21","passed","2026-01-21","GET /v1/token - Negative Tests @tokens @negative","api/tokens/tokens.negative.spec.ts","",""
"","271","@regression - Non-existent token returns 400","api-tests","2026-01-21","passed","2026-01-21","POST /v1/advanced/routes - Negative Tests @routes @negative","api/advanced-routes/routes.negative.spec.ts","",""
"","49","@regression - Invalid chain ID returns 400","api-tests","2026-01-21","passed","2026-01-21","GET /v1/quote - Negative Tests @quote @negative","api/quote/quote.negative.spec.ts","",""
"","66","@regression @slippage - Invalid slippage format returns 400","api-tests","2026-01-21","passed","2026-01-21","GET /v1/quote - Negative Tests @quote @negative","api/quote/quote.negative.spec.ts","",""
"","388","@regression @swap - AVAX to USDC swap on Avalanche","api-tests","2026-01-21","passed","2026-01-21","POST /v1/advanced/routes - Happy Path @routes @happy-path","api/advanced-routes/routes.happy-path.spec.ts","",""
"","52","@regression - Invalid chain ID returns 400","api-tests","2026-01-21","passed","2026-01-21","GET /v1/token - Negative Tests @tokens @negative","api/tokens/tokens.negative.spec.ts","",""
"","768","@regression @bridge - USDC Ethereum to Avalanche bridge","api-tests","2026-01-21","passed","2026-01-21","GET /v1/quote - Happy Path @quote @happy-path","api/quote/quote.happy-path.spec.ts","",""
"","597","@smoke @regression - Response contains transactionRequest for EVM chains","api-tests","2026-01-21","passed","2026-01-21","GET /v1/quote - Happy Path @quote @happy-path","api/quote/quote.happy-path.spec.ts","",""
"","50","@regression - Negative amount returns 400","api-tests","2026-01-21","passed","2026-01-21","POST /v1/advanced/routes - Negative Tests @routes @negative","api/advanced-routes/routes.negative.spec.ts","",""
"","64","@regression - Negative chain ID returns 400","api-tests","2026-01-21","passed","2026-01-21","GET /v1/tools - Negative Tests @tools @negative","api/tools/tools.negative.spec.ts","",""
"","1181","@regression - Response includes gas cost estimates","api-tests","2026-01-21","passed","2026-01-21","GET /v1/quote - Happy Path @quote @happy-path","api/quote/quote.happy-path.spec.ts","",""
"","603","@smoke @regression @swap - ETH to USDC swap on Ethereum","api-tests","2026-01-21","passed","2026-01-21","POST /v1/advanced/routes - Happy Path @routes @happy-path","api/advanced-routes/routes.happy-path.spec.ts","",""
"","61","@regression - Returns tools for SUI (MVM)","api-tests","2026-01-21","passed","2026-01-21","GET /v1/tools - Happy Path @tools @happy-path","api/tools/tools.happy-path.spec.ts","",""
"","482","@regression - Route steps have complete action and estimate","api-tests","2026-01-21","passed","2026-01-21","POST /v1/advanced/routes - Happy Path @routes @happy-path","api/advanced-routes/routes.happy-path.spec.ts","",""
"","73","@smoke @regression - Get token details by symbol","api-tests","2026-01-21","passed","2026-01-21","GET /v1/token - Token Details & Price @tokens @happy-path","api/tokens/tokens.happy-path.spec.ts","",""
"","740","@smoke @regression @swap - ETH to USDC swap on Ethereum","api-tests","2026-01-21","passed","2026-01-21","GET /v1/quote - Happy Path @quote @happy-path","api/quote/quote.happy-path.spec.ts","",""
"","28","@regression - Bridge objects have required properties","api-tests","2026-01-21","passed","2026-01-21","GET /v1/tools - Happy Path @tools @happy-path","api/tools/tools.happy-path.spec.ts","",""
"","55","@regression @toAddress - Invalid toAddress format returns 400","api-tests","2026-01-21","passed","2026-01-21","GET /v1/quote - Negative Tests @quote @negative","api/quote/quote.negative.spec.ts","",""
"","73","@regression - Get token on Polygon","api-tests","2026-01-21","passed","2026-01-21","GET /v1/token - Token Details & Price @tokens @happy-path","api/tokens/tokens.happy-path.spec.ts","",""
"","1543","@smoke @regression @bridge - USDC Ethereum to Polygon bridge","api-tests","2026-01-21","passed","2026-01-21","POST /v1/advanced/routes - Happy Path @routes @happy-path","api/advanced-routes/routes.happy-path.spec.ts","",""
"","52","@regression - Negative amount returns 400","api-tests","2026-01-21","passed","2026-01-21","GET /v1/quote - Negative Tests @quote @negative","api/quote/quote.negative.spec.ts","",""
"","60","@regression - Missing fromChain returns 400","api-tests","2026-01-21","passed","2026-01-21","GET /v1/quote - Negative Tests @quote @negative","api/quote/quote.negative.spec.ts","",""
"","60","@regression - Invalid chain ID returns empty or error","api-tests","2026-01-21","passed","2026-01-21","GET /v1/tokens - Negative Tests @tokens @negative","api/tokens/tokens.negative.spec.ts","",""
"","14","@regression - Solana chain has bridges with SOL support","api-tests","2026-01-21","passed","2026-01-21","GET /v1/tools - Happy Path @tools @happy-path","api/tools/tools.happy-path.spec.ts","",""
"","940","@regression - Response includes execution duration estimate","api-tests","2026-01-21","passed","2026-01-21","GET /v1/quote - Happy Path @quote @happy-path","api/quote/quote.happy-path.spec.ts","",""
"","892","@regression - Routes include gas cost estimates","api-tests","2026-01-21","passed","2026-01-21","POST /v1/advanced/routes - Happy Path @routes @happy-path","api/advanced-routes/routes.happy-path.spec.ts","",""
"","472","@regression @swap - USDC to USDT swap on Ethereum","api-tests","2026-01-21","passed","2026-01-21","POST /v1/advanced/routes - Happy Path @routes @happy-path","api/advanced-routes/routes.happy-path.spec.ts","",""
"","60","@regression - Mixed valid and invalid chains returns 400","api-tests","2026-01-21","passed","2026-01-21","GET /v1/tools - Negative Tests @tools @negative","api/tools/tools.negative.spec.ts","",""
"","794","@regression @swap - ETH to USDC swap on Base","api-tests","2026-01-21","passed","2026-01-21","GET /v1/quote - Happy Path @quote @happy-path","api/quote/quote.happy-path.spec.ts","",""
"","40","@regression - Zero amount returns 400","api-tests","2026-01-21","passed","2026-01-21","POST /v1/advanced/routes - Negative Tests @routes @negative","api/advanced-routes/routes.negative.spec.ts","",""
"","1125","@regression - Order parameter affects route sorting","api-tests","2026-01-21","passed","2026-01-21","POST /v1/advanced/routes - Happy Path @routes @happy-path","api/advanced-routes/routes.happy-path.spec.ts","",""
"","494","@regression - Duplicate chain IDs are handled","api-tests","2026-01-21","passed","2026-01-21","GET /v1/tools - Negative Tests @tools @negative","api/tools/tools.negative.spec.ts","",""
"","62","@regression - Missing chain parameter returns 400","api-tests","2026-01-21","passed","2026-01-21","GET /v1/token - Negative Tests @tokens @negative","api/tokens/tokens.negative.spec.ts","",""
"","655","@regression @bridge - USDC Ethereum to Base bridge","api-tests","2026-01-21","passed","2026-01-21","GET /v1/quote - Happy Path @quote @happy-path","api/quote/quote.happy-path.spec.ts","",""
"","143","@regression - Non-existent token address returns 400","api-tests","2026-01-21","passed","2026-01-21","GET /v1/token - Negative Tests @tokens @negative","api/tokens/tokens.negative.spec.ts","",""
"","67","@regression @toAddress - Short toAddress returns 400","api-tests","2026-01-21","passed","2026-01-21","GET /v1/quote - Negative Tests @quote @negative","api/quote/quote.negative.spec.ts","",""
"","619","@regression @swap - ETH to USDC swap on Optimism","api-tests","2026-01-21","passed","2026-01-21","GET /v1/quote - Happy Path @quote @happy-path","api/quote/quote.happy-path.spec.ts","",""
"","58","@regression - Missing toChain returns 400","api-tests","2026-01-21","passed","2026-01-21","GET /v1/quote - Negative Tests @quote @negative","api/quote/quote.negative.spec.ts","",""
"","62","@regression - Same token on same chain returns 400","api-tests","2026-01-21","passed","2026-01-21","GET /v1/quote - Negative Tests @quote @negative","api/quote/quote.negative.spec.ts","",""
"","36","@regression - Missing fromAmount returns 400","api-tests","2026-01-21","passed","2026-01-21","POST /v1/advanced/routes - Negative Tests @routes @negative","api/advanced-routes/routes.negative.spec.ts","",""
"","856","@regression @bridge - USDC Ethereum to Base bridge","api-tests","2026-01-21","passed","2026-01-21","POST /v1/advanced/routes - Happy Path @routes @happy-path","api/advanced-routes/routes.happy-path.spec.ts","",""
"","563","@regression @swap - ETH to USDC swap on Base","api-tests","2026-01-21","passed","2026-01-21","POST /v1/advanced/routes - Happy Path @routes @happy-path","api/advanced-routes/routes.happy-path.spec.ts","",""
"","692","@regression @swap - POL to USDC swap on Polygon","api-tests","2026-01-21","passed","2026-01-21","POST /v1/advanced/routes - Happy Path @routes @happy-path","api/advanced-routes/routes.happy-path.spec.ts","",""
"","48","@regression - Negative chain ID returns error or empty","api-tests","2026-01-21","passed","2026-01-21","GET /v1/tokens - Negative Tests @tokens @negative","api/tokens/tokens.negative.spec.ts","",""
"","1013","@regression @order - Quote with FASTEST order preference","api-tests","2026-01-21","passed","2026-01-21","GET /v1/quote - Happy Path @quote @happy-path","api/quote/quote.happy-path.spec.ts","",""
"","39","@regression - Invalid chain ID returns error","api-tests","2026-01-21","passed","2026-01-21","POST /v1/advanced/routes - Negative Tests @routes @negative","api/advanced-routes/routes.negative.spec.ts","",""
"","57","@regression @slippage - Negative slippage returns 400","api-tests","2026-01-21","passed","2026-01-21","GET /v1/quote - Negative Tests @quote @negative","api/quote/quote.negative.spec.ts","",""
"","958","@regression @slippage - Quote with custom slippage parameter","api-tests","2026-01-21","passed","2026-01-21","GET /v1/quote - Happy Path @quote @happy-path","api/quote/quote.happy-path.spec.ts","",""
"","87","@regression @slippage - Slippage exceeding 100% returns 400","api-tests","2026-01-21","passed","2026-01-21","GET /v1/quote - Negative Tests @quote @negative","api/quote/quote.negative.spec.ts","",""
"","685","@regression @bridge - USDC Polygon to Arbitrum bridge","api-tests","2026-01-21","passed","2026-01-21","POST /v1/advanced/routes - Happy Path @routes @happy-path","api/advanced-routes/routes.happy-path.spec.ts","",""
"","83","@smoke @regression - Returns tokens for Ethereum","api-tests","2026-01-21","passed","2026-01-21","GET /v1/tokens - Token Search @tokens @happy-path","api/tokens/tokens.happy-path.spec.ts","",""
